ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
114.236.137.41,21000,http,yes,transparent,CN,China,Nanjing,Chinanet JS,AS4134 CHINANET BACKBONE,841,1246,87.8,5320,2026-08-20T17:36:06.4857477Z,2026-08-20T17:36:06.4857477Z
72.195.34.35,27360,socks4,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,842,167,99.9,5065,2026-08-20T17:35:48.1374262Z,2026-08-20T17:35:48.1374262Z
184.178.172.28,15294,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc.,AS22773 Cox Communications Inc.,844,167,99.8,5067,2026-08-20T17:35:33.4911847Z,2026-08-20T17:35:33.4911847Z
72.195.34.41,4145,socks4,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,846,170,99.9,5064,2026-08-20T17:39:25.8995972Z,2026-08-20T17:39:25.8995972Z
174.64.199.82,4145,socks4,no,elite,US,United States,Lafayette,Cox Communications Inc.,AS22773 Cox Communications Inc.,847,169,99.8,5066,2026-08-20T17:39:25.8997405Z,2026-08-20T17:39:25.8997405Z
68.1.210.189,4145,socks4,no,elite,US,United States,San Diego,Cox Communications,AS22773 Cox Communications Inc.,848,169,99.9,5064,2026-08-20T17:35:48.1447128Z,2026-08-20T17:35:48.1447128Z
117.50.194.130,7890,socks5,yes,elite,CN,China,Yangpu,Shanghai UCloud Information Technology Company Limited,"AS23724 IDC, China Telecommunications Corporation",848,164,94.6,4703,2026-08-20T17:37:20.7690412Z,2026-08-20T17:37:20.7690412Z
184.181.217.210,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,848,163,99.8,5053,2026-08-20T17:35:33.4905086Z,2026-08-20T17:35:33.4905086Z
72.195.34.59,4145,socks4,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,852,168,99.9,5064,2026-08-20T17:35:48.1493650Z,2026-08-20T17:35:48.1493650Z
98.182.147.97,4145,socks4,no,elite,US,United States,Las Vegas,Cox Communications Inc.,AS22773 Cox Communications Inc.,853,172,99.9,5064,2026-08-20T17:38:15.7271313Z,2026-08-20T17:38:15.7271313Z
98.191.0.47,4145,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc,AS22773 Cox Communications Inc.,853,169,99.9,5066,2026-08-20T17:35:48.1500794Z,2026-08-20T17:35:48.1500794Z
142.54.226.214,4145,socks4,no,elite,US,United States,Beverly Hills,ZeroLag Communications,AS46562 Performive LLC,853,180,99.7,5069,2026-08-20T17:35:48.1618463Z,2026-08-20T17:35:48.1618463Z
181.39.25.196,8118,http,yes,elite,EC,Ecuador,Quito,Clientes Quito,AS27947 Telconet S.A,853,181,99.8,5055,2026-08-20T17:37:19.8385674Z,2026-08-20T17:37:19.8385674Z
98.188.47.132,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,854,170,99.9,5064,2026-08-20T17:39:25.9077525Z,2026-08-20T17:39:25.9077525Z
