ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
203.99.240.179,80,http,no,elite,JP,Japan,Minato,ITOCHU Techno-Solutions Corporation,AS24270 ITOCHU Techno-Solutions Corporation,1021,492,99.6,260,2026-08-03T19:13:39.4464095Z,2026-08-03T19:13:39.4464095Z
199.116.114.11,4145,socks4,no,elite,US,United States,Los Angeles,Total Server Solutions L.L.C,AS46562 Performive LLC,1024,212,99.2,260,2026-08-03T19:11:14.3138485Z,2026-08-03T19:11:14.3138485Z
98.178.72.30,4145,socks5,no,elite,US,United States,Tulsa,Cox Communications,AS22773 Cox Communications Inc.,1025,169,100,259,2026-08-03T19:13:20.6040816Z,2026-08-03T19:13:20.6040816Z
184.178.172.3,4145,socks5,no,elite,US,United States,Roanoke,Cox Communications Inc.,AS22773 Cox Communications Inc.,1025,167,100,259,2026-08-03T19:13:20.6020350Z,2026-08-03T19:13:20.6020350Z
208.102.51.6,58208,socks4,no,elite,US,United States,Alexandria,Fuse Internet Access - MH2+,AS6181 Cincinnati Bell Telephone Company LLC,1026,201,100,259,2026-08-03T19:13:22.6358299Z,2026-08-03T19:13:22.6358299Z
98.190.239.3,4145,socks5,no,elite,US,United States,Tulsa,Cox Communications Inc,AS22773 Cox Communications Inc.,1028,167,100,259,2026-08-03T19:13:20.2617664Z,2026-08-03T19:13:20.2617664Z
69.61.200.104,36181,socks4,no,elite,US,United States,Cincinnati,Maximum Communications,AS6181 Cincinnati Bell Telephone Company LLC,1040,208,99.6,259,2026-08-03T19:13:22.6475114Z,2026-08-03T19:13:22.6475114Z
98.182.147.97,4145,socks5,no,elite,US,United States,Las Vegas,Cox Communications Inc.,AS22773 Cox Communications Inc.,1043,166,100,259,2026-08-03T19:13:20.2777011Z,2026-08-03T19:13:20.2777011Z
168.121.222.230,80,http,no,anonymous,PE,Peru,Lima,Easy Telecom SAC - Servicios,AS27843 ON EMPRESAS S.A.C.,1043,171,86.6,157,2026-08-03T19:13:20.6273381Z,2026-08-03T19:13:20.6273381Z
98.175.31.195,4145,socks5,no,elite,US,United States,Norfolk,Cox Communications Inc,AS22773 Cox Communications Inc.,1044,167,99.6,259,2026-08-03T19:13:20.6221649Z,2026-08-03T19:13:20.6221649Z
